id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,fetched_at,snapshot_date,daily_price_change_pct,daily_market_cap_change_pct,trend_label
bitcoin,btc,Bitcoin,75817.0,1517153540842.0,1,42871612119.0,77808.0,75103.0,-1.33144,2026-04-30 03:20:07.473,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
ethereum,eth,Ethereum,2246.74,270954122248.0,2,19992833793.0,2344.02,2224.38,-2.29197,2026-04-30 03:20:07.080,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
tether,usdt,Tether,0.999546,189514690552.0,3,74882103575.0,0.999911,0.999518,-0.0241,2026-04-30 03:20:07.056,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
ripple,xrp,XRP,1.37,84577709646.0,4,2310346810.0,1.4,1.35,-1.03605,2026-04-30 03:20:06.855,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
binancecoin,bnb,BNB,617.46,83190694964.0,5,1110890795.0,629.21,611.16,-1.27265,2026-04-30 03:20:07.052,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
usd-coin,usdc,USDC,0.999763,77262240032.0,6,15719943376.0,0.999926,0.999181,-0.00825,2026-04-30 03:20:06.650,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
solana,sol,Solana,82.96,47784423317.0,7,3935274889.0,85.46,81.57,-1.85151,2026-04-30 03:20:06.910,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
tron,trx,TRON,0.323735,30679376022.0,8,457099571.0,0.32372,0.321636,0.54851,2026-04-30 03:20:00.911,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
figure-heloc,figr_heloc,Figure Heloc,1.034,17804513706.0,9,70331754.0,1.04,1.028,-0.62058,2026-04-30 03:20:05.835,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
dogecoin,doge,Dogecoin,0.106024,16317585309.0,10,4840338183.0,0.110396,0.100372,5.63178,2026-04-30 03:20:04.533,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
whitebit,wbt,WhiteBIT Coin,53.92,11507511700.0,11,76809166.0,55.15,53.36,-0.52663,2026-04-30 03:20:02.963,2026-04-30 03:20:14.096146,2026-04-30,,,Sideways
